method,N,J,h,h_over_J,E0,e0,Mz,Mx
mps,10,1.0,0.8,0.8,-11.067490942928135,-1.1067490942928135,-3.976769322062878e-5,0.5697262577105364
mps,10,1.0,0.9,0.9,-11.683578777208188,-1.1683578777208188,1.9273928077888602e-6,0.6601329724631778
mps,10,1.0,1.0,1.0,-12.381489996638988,-1.2381489996638988,6.059577371066797e-8,0.7322550582188018
mps,10,1.0,1.1,1.1,-13.14167686699841,-1.3141676866998409,5.931279049038397e-9,0.7853012167577315
mps,10,1.0,1.2,1.2,-13.947340015906176,-1.3947340015906176,-2.96157765209923e-9,0.8240590517922586
mps,20,1.0,0.8,0.8,-22.712964675318364,-1.1356482337659182,-0.7466309365512278,0.4968412762819975
mps,20,1.0,0.9,0.9,-23.810055108454073,-1.1905027554227037,0.05550354337132305,0.5986647229181485
mps,20,1.0,1.0,1.0,-25.107797074436785,-1.2553898537218393,-0.00016437070372522878,0.6949429280852228
mps,20,1.0,1.1,1.1,-26.56983900214647,-1.3284919501073236,3.7649895214532697e-6,0.7625168959158319
mps,20,1.0,1.2,1.2,-28.14347251775876,-1.407173625887938,1.0064175497374643e-8,0.8083737850990182
