profile,h_over_J,N,r,value
zz,0.6,20,0,1.0
zz,0.6,20,1,0.8865163612424262
zz,0.6,20,2,0.8756203193295734
zz,0.6,20,3,0.8725197717263966
zz,0.6,20,4,0.8706590886964017
zz,0.6,20,5,0.8689362339320528
zz,0.6,20,6,0.8670732864456232
zz,0.6,20,7,0.8649555859481516
zz,0.6,20,8,0.8624951542555812
zz,0.6,20,9,0.8595909147179143
zz,0.6,20,10,0.856107458597488
xx,0.6,20,0,1.0
xx,0.6,20,1,0.1725370650826335
xx,0.6,20,2,0.11837161233787435
xx,0.6,20,3,0.11362040390085551
xx,0.6,20,4,0.11330339989249782
xx,0.6,20,5,0.1139033114408171
xx,0.6,20,6,0.11482805923952244
xx,0.6,20,7,0.11596321714582561
xx,0.6,20,8,0.11730872884794087
xx,0.6,20,9,0.11890587519949558
xx,0.6,20,10,0.12082512065749966
connected_zz,0.6,20,0,0.14160850269108702
connected_zz,0.6,20,1,0.01726907686389933
connected_zz,0.6,20,2,0.004116095589684812
connected_zz,0.6,20,3,0.0011946633817133418
connected_zz,0.6,20,4,0.00038410662489936354
connected_zz,0.6,20,5,0.0001343386089407058
connected_zz,0.6,20,6,5.263858935248119e-5
connected_zz,0.6,20,7,2.4828853204957782e-5
connected_zz,0.6,20,8,1.5089988048740585e-5
connected_zz,0.6,20,9,1.1583626808662409e-5
connected_zz,0.6,20,10,1.0268531754598076e-5
zz,1.0,20,0,1.0000000000000007
zz,1.0,20,1,0.5899444837010518
zz,1.0,20,2,0.46973951566960537
zz,1.0,20,3,0.4009751067641046
zz,1.0,20,4,0.35285906468135003
zz,1.0,20,5,0.31568043304203025
zz,1.0,20,6,0.28518501305446364
zz,1.0,20,7,0.2591326376298646
zz,1.0,20,8,0.23619968891685714
zz,1.0,20,9,0.21553469551630933
zz,1.0,20,10,0.19655105147007484
xx,1.0,20,0,1.0000000000000007
xx,1.0,20,1,0.6248688670016832
xx,1.0,20,2,0.4975168790178648
xx,1.0,20,3,0.4791465384863165
xx,1.0,20,4,0.4735884409948235
xx,1.0,20,5,0.4719354645305899
xx,1.0,20,6,0.4720989390647529
xx,1.0,20,7,0.4733917637990471
xx,1.0,20,8,0.47556774247168404
xx,1.0,20,9,0.4785665239395371
xx,1.0,20,10,0.4824357994519751
connected_zz,1.0,20,0,0.9999999999999953
connected_zz,1.0,20,1,0.5899444837010461
connected_zz,1.0,20,2,0.46973951566959965
connected_zz,1.0,20,3,0.4009751067640987
connected_zz,1.0,20,4,0.35285906468134415
connected_zz,1.0,20,5,0.3156804330420245
connected_zz,1.0,20,6,0.2851850130544579
connected_zz,1.0,20,7,0.259132637629859
connected_zz,1.0,20,8,0.23619968891685172
connected_zz,1.0,20,9,0.2155346955163041
connected_zz,1.0,20,10,0.1965510514700699
zz,1.4,20,0,1.0000000000000004
zz,1.4,20,1,0.3820460047870014
zz,1.4,20,2,0.20941151927814944
zz,1.4,20,3,0.12596445734093265
zz,1.4,20,4,0.07913603456263585
zz,1.4,20,5,0.05098570693581986
zz,1.4,20,6,0.033396388544574745
zz,1.4,20,7,0.022128187305970885
zz,1.4,20,8,0.014783156538591769
zz,1.4,20,9,0.009934907536887702
zz,1.4,20,10,0.006705327819132262
xx,1.4,20,0,1.0000000000000004
xx,1.4,20,1,0.8519463727384151
xx,1.4,20,2,0.7537449138831382
xx,1.4,20,3,0.745557515415166
xx,1.4,20,4,0.7443755356043669
xx,1.4,20,5,0.7445580967444073
xx,1.4,20,6,0.7451640265744203
xx,1.4,20,7,0.7459856981045374
xx,1.4,20,8,0.7469865090884552
xx,1.4,20,9,0.7481849389286928
xx,1.4,20,10,0.7496290774208132
connected_zz,1.4,20,0,1.0000000000000004
connected_zz,1.4,20,1,0.3820460047870014
connected_zz,1.4,20,2,0.20941151927814944
connected_zz,1.4,20,3,0.12596445734093265
connected_zz,1.4,20,4,0.07913603456263585
connected_zz,1.4,20,5,0.05098570693581986
connected_zz,1.4,20,6,0.033396388544574745
connected_zz,1.4,20,7,0.022128187305970885
connected_zz,1.4,20,8,0.014783156538591769
connected_zz,1.4,20,9,0.009934907536887702
connected_zz,1.4,20,10,0.006705327819132262
zz,0.6,40,0,1.000000000000001
zz,0.6,40,1,0.8948567324019842
zz,0.6,40,2,0.8862424744742443
zz,0.6,40,3,0.8845173118930705
zz,0.6,40,4,0.8839016796036988
zz,0.6,40,5,0.8835126164743046
zz,0.6,40,6,0.8831667258387069
zz,0.6,40,7,0.8828181089064582
zz,0.6,40,8,0.8824530479746844
zz,0.6,40,9,0.8820660673961795
zz,0.6,40,10,0.8816538008945053
zz,0.6,40,11,0.8812132658330616
zz,0.6,40,12,0.8807413165729713
zz,0.6,40,13,0.8802344250491915
zz,0.6,40,14,0.8796885472723699
zz,0.6,40,15,0.8790990009293244
zz,0.6,40,16,0.8784603261945824
zz,0.6,40,17,0.877766114645174
zz,0.6,40,18,0.8770087929797334
zz,0.6,40,19,0.8761793454460653
zz,0.6,40,20,0.8752669531650881
xx,0.6,40,0,1.000000000000001
xx,0.6,40,1,0.15830062864893124
xx,0.6,40,2,0.11062092669004034
xx,0.6,40,3,0.10645766372756163
xx,0.6,40,4,0.10582771916360666
xx,0.6,40,5,0.1058100557775165
xx,0.6,40,6,0.10593821747683413
xx,0.6,40,7,0.10611229343139444
xx,0.6,40,8,0.10630800406139942
xx,0.6,40,9,0.1065195436876086
xx,0.6,40,10,0.10674617696842874
xx,0.6,40,11,0.10698875547358473
xx,0.6,40,12,0.10724876354178238
xx,0.6,40,13,0.1075280654000651
xx,0.6,40,14,0.10782886341395874
xx,0.6,40,15,0.10815372913942911
xx,0.6,40,16,0.10850566833296248
xx,0.6,40,17,0.10888821139017818
xx,0.6,40,18,0.10930553124681248
xx,0.6,40,19,0.10976259590831187
xx,0.6,40,20,0.11026536706146164
connected_zz,0.6,40,0,0.12358555995780578
connected_zz,0.6,40,1,0.012691647509821111
connected_zz,0.6,40,2,0.0026686302025805482
connected_zz,0.6,40,3,0.0006998395004733019
connected_zz,0.6,40,4,0.0002042174338404886
connected_zz,0.6,40,5,6.327906705266363e-5
connected_zz,0.6,40,6,2.035733816697181e-5
connected_zz,0.6,40,7,6.7109808974733545e-6
connected_zz,0.6,40,8,2.24731972027839e-6
connected_zz,0.6,40,9,7.597235989664058e-7
connected_zz,0.6,40,10,2.5807718452286464e-7
connected_zz,0.6,40,11,8.769345678352268e-8
connected_zz,0.6,40,12,2.9628919865195717e-8
connected_zz,0.6,40,13,9.892209241047356e-9
connected_zz,0.6,40,14,3.2549379644577834e-9
connected_zz,0.6,40,15,1.05727969934577e-9
connected_zz,0.6,40,16,3.401787231534688e-10
connected_zz,0.6,40,17,1.0876733330425613e-10
connected_zz,0.6,40,18,3.4647209343965166e-11
connected_zz,0.6,40,19,1.1016478734540042e-11
connected_zz,0.6,40,20,3.5015768062862664e-12
zz,1.0,40,0,1.0000000000000007
zz,1.0,40,1,0.6082820838937357
zz,1.0,40,2,0.49708367827394745
zz,1.0,40,3,0.43486085361225346
zz,1.0,40,4,0.39213683941624256
zz,1.0,40,5,0.359714032827941
zz,1.0,40,6,0.3336096576665577
zz,1.0,40,7,0.31175114106938645
zz,1.0,40,8,0.29292505961231863
zz,1.0,40,9,0.2763643147295054
zz,1.0,40,10,0.261553951897514
zz,1.0,40,11,0.24813217970434304
zz,1.0,40,12,0.235835103345763
zz,1.0,40,13,0.22446329653053268
zz,1.0,40,14,0.213862421505828
zz,1.0,40,15,0.20391044817103626
zz,1.0,40,16,0.19450875909619236
zz,1.0,40,17,0.1855767993285442
zz,1.0,40,18,0.17704681404771982
zz,1.0,40,19,0.1688619158994454
zz,1.0,40,20,0.1609730796208685
xx,1.0,40,0,1.0000000000000007
xx,1.0,40,1,0.5908603346388204
xx,1.0,40,2,0.470871513000449
xx,1.0,40,3,0.45312342112130227
xx,1.0,40,4,0.44703446844533384
xx,1.0,40,5,0.4442625003557117
xx,1.0,40,6,0.4428513881254884
xx,1.0,40,7,0.4421302691693396
xx,1.0,40,8,0.4418149268190668
xx,1.0,40,9,0.44176806482535463
xx,1.0,40,10,0.44191643255296637
xx,1.0,40,11,0.4422186315767337
xx,1.0,40,12,0.44265004908272354
xx,1.0,40,13,0.44319704061433113
xx,1.0,40,14,0.44385093207438736
xx,1.0,40,15,0.44461087090471585
xx,1.0,40,16,0.4454765496532853
xx,1.0,40,17,0.4464513813004448
xx,1.0,40,18,0.44754212762458007
xx,1.0,40,19,0.44875778301416813
xx,1.0,40,20,0.4501096917513504
connected_zz,1.0,40,0,0.9999865113641218
connected_zz,1.0,40,1,0.6082683288953628
connected_zz,1.0,40,2,0.49706971481105744
connected_zz,1.0,40,3,0.4348467252906157
connected_zz,1.0,40,4,0.3921225876939981
connected_zz,1.0,40,5,0.35969970152147085
connected_zz,1.0,40,6,0.33359527712970627
connected_zz,1.0,40,7,0.3117367446125903
connected_zz,1.0,40,8,0.29291068175569807
connected_zz,1.0,40,9,0.2763499893708364
connected_zz,1.0,40,10,0.26153971061768266
connected_zz,1.0,40,11,0.24811805344744894
connected_zz,1.0,40,12,0.23582112341732048
connected_zz,1.0,40,13,0.2244494937805266
connected_zz,1.0,40,14,0.2138488255354494
connected_zz,1.0,40,15,0.20389708851592758
connected_zz,1.0,40,16,0.19449566371186558
connected_zz,1.0,40,17,0.1855639951732317
connected_zz,1.0,40,18,0.17703432533286295
connected_zz,1.0,40,19,0.16884976789745423
connected_zz,1.0,40,20,0.1609612939714043
zz,1.4,40,0,1.000000000000001
zz,1.4,40,1,0.3840724748749278
zz,1.4,40,2,0.21130874959259338
zz,1.4,40,3,0.1275113653729503
zz,1.4,40,4,0.08035114994478498
zz,1.4,40,5,0.05193009539329057
zz,1.4,40,6,0.03412747989218639
zz,1.4,40,7,0.022695267656491963
zz,1.4,40,8,0.01522621264622384
zz,1.4,40,9,0.010284691301106616
zz,1.4,40,10,0.006984297168188879
zz,1.4,40,11,0.004763477042228601
zz,1.4,40,12,0.0032600994717503595
zz,1.4,40,13,0.002237427876318133
zz,1.4,40,14,0.0015390006609837085
zz,1.4,40,15,0.0010604822615652649
zz,1.4,40,16,0.0007317809610963085
zz,1.4,40,17,0.0005055204041574024
zz,1.4,40,18,0.00034951526473467326
zz,1.4,40,19,0.0002418088199487353
zz,1.4,40,20,0.00016737094798872028
xx,1.4,40,0,1.000000000000001
xx,1.4,40,1,0.8465801622974343
xx,1.4,40,2,0.7488852010822096
xx,1.4,40,3,0.7404230881075419
xx,1.4,40,4,0.7388171235043485
xx,1.4,40,5,0.7384788571775854
xx,1.4,40,6,0.7384672352065642
xx,1.4,40,7,0.7385590357509969
xx,1.4,40,8,0.7386913955653494
xx,1.4,40,9,0.7388448232979802
xx,1.4,40,10,0.739013225747978
xx,1.4,40,11,0.7391951083120357
xx,1.4,40,12,0.7393907376660476
xx,1.4,40,13,0.7396011706656402
xx,1.4,40,14,0.7398279225495469
xx,1.4,40,15,0.7400728709107107
xx,1.4,40,16,0.740338256008525
xx,1.4,40,17,0.740626728722351
xx,1.4,40,18,0.7409414309185428
xx,1.4,40,19,0.7412861068232065
xx,1.4,40,20,0.741665251215471
connected_zz,1.4,40,0,1.000000000000001
