profile,h_over_J,N,r,value
zz,0.6,20,0,1.000000000000001
zz,0.6,20,1,0.886516406552843
zz,0.6,20,2,0.8756203806730748
zz,0.6,20,3,0.8725198607151333
zz,0.6,20,4,0.8706591823761574
zz,0.6,20,5,0.8689363094154979
zz,0.6,20,6,0.8670733599093933
zz,0.6,20,7,0.8649556882612129
zz,0.6,20,8,0.8624952755486812
zz,0.6,20,9,0.8595910455186324
zz,0.6,20,10,0.8561076018240549
xx,0.6,20,0,1.000000000000001
xx,0.6,20,1,0.17253697546643534
xx,0.6,20,2,0.11837153981992841
xx,0.6,20,3,0.11362045053050382
xx,0.6,20,4,0.11330346245772924
xx,0.6,20,5,0.11390324857982075
xx,0.6,20,6,0.11482798199316244
xx,0.6,20,7,0.1159631552447372
xx,0.6,20,8,0.11730866268701308
xx,0.6,20,9,0.11890581916962342
xx,0.6,20,10,0.1208250623865881
connected_zz,0.6,20,0,0.14160525022428913
connected_zz,0.6,20,1,0.01726583162286662
connected_zz,0.6,20,2,0.004112861983590825
connected_zz,0.6,20,3,0.0011914625836035014
connected_zz,0.6,20,4,0.0003809185016368441
connected_zz,0.6,20,5,0.00013113689682410593
connected_zz,0.6,20,6,4.9448158241546404e-5
connected_zz,0.6,20,7,2.1671253498167786e-5
connected_zz,0.6,20,8,1.1954481450896873e-5
connected_zz,0.6,20,9,8.465153556751078e-6
connected_zz,0.6,20,10,7.164294701744734e-6
zz,1.0,20,0,1.0000000000000004
zz,1.0,20,1,0.5899444836982846
zz,1.0,20,2,0.46973951566649674
zz,1.0,20,3,0.40097510675339465
zz,1.0,20,4,0.35285906466816563
zz,1.0,20,5,0.3156804330275621
zz,1.0,20,6,0.28518501303971566
zz,1.0,20,7,0.2591326376150836
zz,1.0,20,8,0.2361996889016704
zz,1.0,20,9,0.2155346955002752
zz,1.0,20,10,0.19655105145303386
xx,1.0,20,0,1.0000000000000004
xx,1.0,20,1,0.6248688670074829
xx,1.0,20,2,0.49751687902877806
