method,N,J,h,h_over_J,entropy_mid
mps,10,1.0,0.2,0.2,0.553473946990273
mps,10,1.0,0.4,0.4,0.0027349587157525558
mps,10,1.0,0.6,0.6,0.6880814651950542
mps,10,1.0,0.8,0.8,0.5871301072196016
mps,10,1.0,1.0,1.0,0.37905236373368495
mps,10,1.0,1.2,1.2,0.24605197693207076
mps,10,1.0,1.4,1.4,0.1761392970308171
mps,10,1.0,1.6,1.6,0.1348907756391367
mps,10,1.0,1.8,1.8,0.1078539291331333
mps,10,1.0,2.0,2.0,0.08883310395247157
mps,20,1.0,0.2,0.2,8.424069707993862e-5
mps,20,1.0,0.4,0.4,0.0011918331203133769
mps,20,1.0,0.6,0.6,0.006429027835665482
mps,20,1.0,0.8,0.8,0.5223223594093456
mps,20,1.0,1.0,1.0,0.44379936740694764
mps,20,1.0,1.2,1.2,0.25272763516225305
mps,20,1.0,1.4,1.4,0.1770119917959096
mps,20,1.0,1.6,1.6,0.13504814564061124
mps,20,1.0,1.8,1.8,0.107889982640275
mps,20,1.0,2.0,2.0,0.08884294829900659
mps,40,1.0,0.2,0.2,8.424069709681656e-5
mps,40,1.0,0.4,0.4,0.0011918323152533066
mps,40,1.0,0.6,0.6,0.006340758950585158
mps,40,1.0,0.8,0.8,0.02748055221880619
mps,40,1.0,1.0,1.0,0.5052423005392899
mps,40,1.0,1.2,1.2,0.2533477040668881
mps,40,1.0,1.4,1.4,0.1770262384928361
mps,40,1.0,1.6,1.6,0.13504877293756082
mps,40,1.0,1.8,1.8,0.10789002581168186
mps,40,1.0,2.0,2.0,0.08884295223084726
