method,N,J,h,h_over_J,E0,e0,Mz,Mx
exact,4,1.0,0.2,0.2,-3.0617348039537533,-0.7654337009884383,-5.307213002403444e-12,0.1585025129916504
exact,4,1.0,0.8,0.8,-4.145560913317096,-1.036390228329274,-3.765737721650453e-14,0.7146612379607045
exact,4,1.0,1.4,1.4,-6.140330028156054,-1.5350825070390135,-1.582067810090848e-14,0.9023464768148655
exact,4,1.0,2.0,2.0,-8.376798636850348,-2.094199659212587,-1.0644263248593688e-14,0.9524964063106731
exact,6,1.0,0.2,0.2,-5.080314488525892,-0.8467190814209821,5.768526397294712e-11,0.1344849017624796
exact,6,1.0,0.8,0.8,-6.439709730750946,-1.0732849551251575,-8.007483565108942e-15,0.6456536904834618
exact,6,1.0,1.4,1.4,-9.310377676649072,-1.5517296127748452,-7.699281027543728e-15,0.8874531378630509
exact,6,1.0,2.0,2.0,-12.630964276492985,-2.1051607127488308,-4.240820657604634e-15,0.9464119674411293
product,4,1.0,0.2,0.2,-3.0597074741509642,-0.7649268685377411,-0.9876564795971292,0.1488134326280821
product,4,1.0,0.8,0.8,-3.915744929363618,-0.9789362323409045,-0.8233493951776968,0.5507802574950733
product,4,1.0,1.4,1.4,-5.649332053816519,-1.4123330134541296,-0.4516398085977576,0.8863955383789419
product,4,1.0,2.0,2.0,-7.999999999999999,-1.9999999999999998,2.0122792321330962e-16,1.0
product,6,1.0,0.2,0.2,-5.079620958846473,-0.8466034931410787,-0.9901028998733881,0.13240695284993953
product,6,1.0,0.8,0.8,-6.234656523759757,-1.039109420626626,-0.8548364393614246,0.4996617970252994
product,6,1.0,1.4,1.4,-8.617960086684686,-1.4363266811141144,-0.5609494714773363,0.8158931525350036
product,6,1.0,2.0,2.0,-12.0,-2.0,1.7752003570829325e-16,1.0
product,10,1.0,0.2,0.2,-9.119536749377188,-0.9119536749377188,-0.992031678158663,0.11960592502182706
product,10,1.0,0.8,0.8,-10.87203636007919,-1.087203636007919,-0.8783989654515603,0.46113273006688127
product,10,1.0,1.4,1.4,-14.570080586692455,-1.4570080586692455,-0.6309399707030584,0.7648808996446019
product,10,1.0,2.0,2.0,-20.0,-2.0,7.229460086133343e-17,1.0
mps,10,1.0,0.2,0.2,-9.12035407313414,-0.9120354073134139,0.9915856649357853,0.12071230119144946
mps,10,1.0,0.8,0.8,-11.067490942966154,-1.1067490942966154,-3.446623231503471e-5,0.5697261757287851
mps,10,1.0,1.4,1.4,-15.651075531847177,-1.5651075531847176,4.328421666206799e-9,0.8751524799939545
mps,10,1.0,2.0,2.0,-21.139319114139383,-2.113931911413938,-1.49627762300573e-14,0.9415336580076458
mps,20,1.0,0.2,0.2,-19.220606609521628,-0.9610303304760814,-0.9933531036492887,0.11060997318350956
mps,20,1.0,0.8,0.8,-22.7128813070875,-1.135644065354375,0.753511885914183,0.49679855445036736
mps,20,1.0,1.4,1.4,-31.50295666976377,-1.5751478334881885,8.688721777890373e-11,0.8658600921033868
mps,20,1.0,2.0,2.0,-42.410207307999976,-2.1205103653999986,5.253148435072934e-12,0.9378745592985842
